"","ENSEMBL","SYMBOL","Cov1","Cov2","Cov3","Mock1","Mock2","Mock3"
"4792","ENSG00000118557","16_PMFBP1",19,21,1,2,14,13
"4793","ENSG00000118564","15_FBXL5",3384,3611,2538,8563,4054,9512
"4794","ENSG00000118579","13_MED28",863,830,746,2213,3257,2410
"4795","ENSG00000118596","12_SLC16A7",264,360,160,1395,999,1122
"4796","ENSG00000118600","12_RXYLT1",429,346,320,1360,1803,1078
"4797","ENSG00000118620","13_ZNF430",175,237,135,310,297,373
"4798","ENSG00000118640","11_VAMP8",39,30,29,88,182,44
"4799","ENSG00000118655","7_DCLRE1B",174,160,152,507,301,514
"4800","ENSG00000118680","13_MYL12B",15602,13763,11988,31090,74521,36539
"4801","ENSG00000118689","15_FOXO3",1508,1517,1424,3071,2403,3875
"4802","ENSG00000118690","13_ARMC2",73,101,86,166,377,301
"4803","ENSG00000118702","9_GHRH",0,5,0,36,205,40
"4804","ENSG00000118705","17_RPN2",16834,17062,12947,28999,34162,39409
"4805","ENSG00000118707","10_TGIF2",843,912,815,1965,1150,2287
"4806","ENSG00000118729","11_CASQ2",1770,1828,1141,29451,18228,28446
"4807","ENSG00000118733","16_OLFM3",3,17,3,36,21,45
"4808","ENSG00000118762","8_PKD2",3099,3108,2850,7254,2174,8675
"4809","ENSG00000118777","12_ABCG2",46,59,12,108,125,185
"4810","ENSG00000118785","14_SPP1",153,130,152,271,256,80
"4811","ENSG00000118804","8_STBD1",645,641,535,2025,1993,2175
"4812","ENSG00000118816","10_CCNI",5308,3904,4841,10241,17229,12112
"4813","ENSG00000118849","10_RARRES1",935,1008,745,759,1549,698
"4814","ENSG00000118855","21_MFSD1",1575,1628,1541,2946,2636,3510
"4815","ENSG00000118873","16_RAB3GAP2",1767,1841,1613,3439,627,3459
"4816","ENSG00000118894","15_EEF2KMT",224,151,126,735,1005,667
"4817","ENSG00000118898","16_PPL",125,147,267,509,128,763
"4818","ENSG00000118900","15_UBN1",934,797,940,1556,1284,2208
"4819","ENSG00000118922","17_KLF12",269,249,307,576,734,748
"4820","ENSG00000118939","17_UCHL3",602,576,627,2290,4606,2137
"4821","ENSG00000118946","12_PCDH17",52,66,96,36,33,42
"4822","ENSG00000118960","13_HS1BP3",476,282,465,1243,1297,1405
"4823","ENSG00000118961","15_LDAH",376,381,230,1301,555,1403
"4824","ENSG00000118965","14_WDR35",425,510,397,1280,217,1300
"4825","ENSG00000118971","8_CCND2",10897,9165,7721,20405,4884,25658
"4826","ENSG00000118972","3_FGF23",7,1,14,15,10,16
"4827","ENSG00000118985","16_ELL2",3912,3867,2667,3373,1462,3511
