"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_183375",-0.0347990694047757,5.60206584389947,-4.98938433161376,0.000456136010258053,0.000752389295271015,-1.00751828382104
"NM_001039790",-0.0674589252035283,5.48876624670477,-4.9889938794035,0.000456410237757279,0.000752789891153508,-0.431636164305214
"NM_198526",-0.0604111519825583,5.52106590843189,-4.98883511511312,0.000456521793145597,0.000752922143725559,-0.557900628853592
"NM_005206",0.013141686479222,5.77215832232993,4.98803285008234,0.000457085945194937,0.000753800775419398,-1.94040614227112
"NM_018241",0.0162307962652291,5.70852074991278,4.98657952533607,0.000458109804763741,0.000755437358412105,-1.68059947210745
"NM_014039",0.0242569643098669,5.66498993819215,4.98538509059215,0.000458953097835342,0.000756775977193281,-1.42982128681782
"NM_017866",-0.0147447975363537,5.75027328755956,-4.98368601585341,0.000460155512566496,0.000758706533497932,-1.87386183128916
"NM_004839",-0.0212487890670463,5.69156568783931,-4.98140019928604,0.000461778428301764,0.000761330100930297,-1.59591239843303
"XM_927299",0.0824553064545013,5.50650736513739,4.98085964559708,0.000462163104473851,0.000761889080104103,-0.506246314966388
"NM_018412",-0.0133674053836907,5.78682115085117,-4.98083456176296,0.000462180963218152,0.000761889080104103,-1.99654089165126
"NM_024532",-0.116586116458688,5.19301377930477,-4.97934812326472,0.000463240558542383,0.000763583338256676,0.010671218597806
"NM_139319",-0.119894682067202,5.25338387806549,-4.97856866570677,0.000463797217260216,0.000764448404247318,-0.042653371567539
"NM_031244",0.0237995083450615,5.64504240453016,4.97647657886854,0.000465294813899793,0.000766864134981117,-1.31719580098577
"NM_022061",0.0330203038039167,5.64414438750145,4.97495291140327,0.00046638873944319,0.000768614279107091,-1.30753152876278
"NM_015695",-0.0200180424119178,5.7639753007535,-4.97460014422654,0.000466642399029613,0.000768979509524218,-1.93525398034969
"NM_021170",0.0639279478115142,5.53793367830606,4.97177929846602,0.000468676014235198,0.000772277675361809,-0.659472441894716
"NM_005268",-0.087534279647925,5.38805752838551,-4.97168697674526,0.00046874272971077,0.000772284460879452,-0.215923189191208
"NM_001039504",0.0807694512512001,5.41790615492344,4.97168454208235,0.000468744489234624,0.000772284460879452,-0.269025362492308
"NM_001039797",0.0970790383191886,5.39222856478805,4.97124779889243,0.000469060235564947,0.000772751623665481,-0.224938042464398
"NM_000361",0.0999650031283528,5.3351250980745,4.97110429932777,0.000469164028704099,0.000772869564753818,-0.14128884323959
"NM_006634",0.0214900766459785,5.67491890700671,4.96916390805428,0.000470569904925536,0.000775132307358467,-1.51853981889957
"NM_019607",-0.0442090992474942,5.55386274286516,-4.96910780985948,0.000470610616230996,0.000775146166326533,-0.751506154167513
"NM_172163",-0.117557249839093,5.44751800214804,-4.9669121681846,0.00047220696238593,0.00077772214502212,-0.344981016654946
"NM_145171",0.0779164366162117,5.39265010388284,4.96491094619867,0.000473666954902715,0.000780073211944361,-0.233334017463078
"NM_015200",0.020942571123844,5.78328577950386,4.96469359727037,0.000473825809692829,0.000780281283973371,-2.01158136122697
"NM_007180",-0.11831847320909,5.19829845781727,-4.96397743037897,0.000474349637462242,0.000781090312116213,-0.0177504019399288
"NM_001024213",0.0179809506233282,5.74020389617495,4.9636497362862,0.000474589528213854,0.000781431714951461,-1.86567473147113
"NM_003527",0.0319748439177561,5.62594285892983,4.96287522640792,0.000475157024790456,0.000782312450776631,-1.20824961683583
"NM_001665",0.0168161142610694,5.72349333839077,4.96204860446042,0.000475763498217494,0.000783257233997795,-1.79436921381511
"NM_181715",0.0148292698751105,5.73441978849825,4.96183359503327,0.000475921380069962,0.000783463414615481,-1.84501487456843
"XM_925945",0.0483045074389965,5.57782951707396,4.96151465656599,0.000476155679502011,0.000783795357204957,-0.894762120774404
"NM_007139",0.0307993225987824,5.60880132713367,4.9601572529118,0.000477154227107897,0.000785385189670773,-1.10071897231243
"NM_001002901",-0.0442523095431735,5.55169728510931,-4.95905694064804,0.000477965278907637,0.000786666211341605,-0.756471961647658
"NM_016333",0.0125882749063866,5.79521074676291,4.95892795456647,0.000478060451537819,0.000786768897819904,-2.05742007047506
"NM_021009",-0.0142300063881189,5.87568717743623,-4.95790223946369,0.000478817992622175,0.000787961589614111,-2.29494580996736
"NM_001001711",0.120379235751355,5.21479738178882,4.95698539478661,0.000479496204304679,0.000789023579246644,-0.042393944053388
"XM_928136",-0.0243281988978605,5.67723021207664,-4.95646835522494,0.000479879119540217,0.000789595550285762,-1.55204498074764
"NM_001039791",0.10084290534346,5.43151449473496,4.95642722318581,0.000479909595500767,0.000789595550285762,-0.324172564308394
"XM_372423",0.124328425592312,5.28948217904269,4.95374893201148,0.000481898443179001,0.000792813451898548,-0.117041215269466
