Acc	UGCluster	LLID
BC002864	Hs.282326	1827
BC038509	Hs.440168	10231
BC010424	Hs.473838	8624
BC010025	Hs.356742	10589
AF230495	Hs.272813	53905
BC014565	Hs.417962	1846
BC037236	Hs.298654	1848
BC017817	Hs.153381	2532
BC006163	Hs.516111	1639
BC039596	Hs.211463	1785
BC030583	Hs.112667	27019
BC010928	Hs.369068	1783
BC051878	Hs.492555	56943
BC050369	Hs.96055	1869
BC016847	Hs.269408	1871
BC014068	Hs.513268	1877
BC010575	Hs.135646	1997
BC034961	Hs.190977	5168
L26245	Hs.514527	332; 8475
BC014624	Hs.47572	55520
BC069331	Hs.21	63036
BC003376	Hs.184492	1994
BC030692	Hs.166109	1993
BC017371	Hs.46523	2004
BC014209	Hs.477325	55840
BC038506	Hs.101915	6785
BC012514	Hs.175534	26610
BC000738	Hs.522823	2010
BC001549	Hs.522636	10682
BC011989	Hs.129944	11082
BC025695	Hs.122575	9170
BC018650	Hs.154210	1901
BC053866	Hs.1408	1908
BC050453	Hs.26880	9427
BC015524	Hs.377416	79767
BC002745	Hs.511915	2026
BC017249	Hs.224171	2027
BC011030	Hs.429879	1962
X14346	Hs.279259	8288
BC027940	Hs.73962	2045
BC016649	Hs.144700	1947
BC069342	Hs.149239	1948
BC017774	Hs.116651	10205
BC064696	Hs.28020	9852
BC051365	Hs.165904	55040
BC017445	Hs.274122	2039
BC038296	Hs.516837	23381
BC011899	Hs.412196	55081
BC045776	Hs.22634	2115; 221810
BC022231	Hs.440332	2077
BC013918	Hs.144835	1937
BC011885	Hs.378808	83939
BC011945	Hs.539684	1968
AF110146	Hs.434326	9451
BC012547	Hs.478553	1974; 6043
BC000360	Hs.292026	9470
BC015630	Hs.433702	1983
X60655	Hs.369879	2128
BC002437	Hs.549154	51010
BC065528	Hs.150956	2134
BC062635	Hs.203206	57510
BC033006	Hs.97270	10144
BC011770	Hs.75087	10922
BC030798	Hs.528833	79068
BC017049	Hs.461329	79152
BC007021	Hs.112669	2170
BC012299	Hs.26770	2173
BC063042	Hs.75678	2354
BC018738	Hs.494985	26190
BC014957	Hs.132753	26232
BC067293	Hs.283764	26261
BC017869	Hs.140666	130888
BC036120	Hs.380081	79176
BC007832	Hs.519716	93611
BC032634	Hs.77424	2209
BC031992	Hs.492655	2213; 9103
BC031992	Hs.492655	2213; 9103
BC011359	Hs.448738	2495
BC023511	Hs.234759	54738
BC069561	Hs.248049	2255
BC012347	Hs.6540	2258
AB021925	Hs.248087	27006
BC010611	Hs.194208	10817
BC016875	Hs.203717	2335
BC014212	Hs.247186	64319
BC003384	Hs.227729	2286
BC000323	Hs.409065	2237
BC051724	Hs.443240	60684
BC011832	Hs.323489	55037
BC015769	Hs.259559	79611
BC056876	Hs.209715	79866
AK124111	Hs.368434	200844
BC001146	Hs.179986	10211
BC017292	Hs.514038	2319
BC039007	Hs.507621	2321
L36162	Hs.507590	2322
BC002947	Hs.73769	2348
BC004107	Hs.9914	10468
BC033890	Hs.163484	3169
BC046460	Hs.370041	2302
BC062549	Hs.289292	668
BC070065	Hs.370666	2308
BC054505	Hs.431498	27086
AF277993	Hs.247700	50943
BC011788	Hs.298735	55660
BC001710	Hs.100217	752
BC016648	Hs.283565	8061
BC038998	Hs.103183	2332
BC070037	Hs.31664	11211
BC012927	Hs.494496	2203
BC036710	Hs.463785	117246
BC025385	Hs.118722	2530
BC002612	Hs.515493	79147
BC013319	Hs.506381	55785
BC017119	Hs.29203	64223
BC035037	Hs.516604	151556
U52219	Hs.158329	9248
BC018027	Hs.271383	2588
BC069130	Hs.158351	8811
BC012801	Hs.549135	27229
BC022449	Hs.27283	2560
BC010641	Hs.302352	2562
BC069348	Hs.7195	2566
BC050532	Hs.167017	2550
BC013132	Hs.310809	54834
BC000199	Hs.517059	78997
BC026329	Hs.74471	2697
BC013313	Hs.447968	2702
BC064382	Hs.1422	2268
AF118452	Hs.184945	2637
BC003070	Hs.524134	2625
BC027891	Hs.514746	2627
BC032743	Hs.463045	2648
X63468	Hs.445272	2960
BC016302	Hs.485070	2968
BC011619	Hs.549088	9329
BC067768	Hs.55498	9453
BC069119	Hs.248114	2668
AB026493	Hs.28346	8521
BC014433	Hs.308709	2923
BC002804	Hs.516119	7841
BC011363	Hs.443134	57704
BC036552	Hs.420036	2571
BC005111	Hs.500409	2746; 2747
BC050732	Hs.368538	2747
BC032004	Hs.377070	2892
M81886	Hs.519693	2890
BC010574	Hs.32763	2891
BC022496	Hs.112621	2913
BC010037	Hs.518525	2752
BC000498	Hs.500756	2805
BC038507	Hs.116448	2744
BC000012	Hs.30332	9945
BC069244	Hs.271510	2936
BC010915	Hs.523836	2950
BC007808	Hs.414122	57644
BC013310	Hs.544577	2597
BC032864	Hs.2700	2742
AF157318	Hs.297304	55830
BC011365	Hs.268849	2739
BC027972	Hs.211701	221914
BC035972	Hs.435036	2719
BC017166	Hs.58367	2239
BC050444	Hs.344151	2803; 152048; 6917
BC012032	Hs.7953	51125
BC063586	Hs.408909	64083; 153546
BC013160	Hs.493516	11168
BC011757	Hs.80409	1647
BC011047	Hs.322852	10634
BC007936	Hs.134974	2596
AF104922	Hs.41565	2660
BC002429	Hs.27184	2671
AK026127	Hs.170904	79774
BC014075	Hs.276925	9567
BC025415	Hs.86724	2643
BC012202	Hs.241431	2775; 26077
BC010119	Hs.5662	10399
M95174	Hs.778	2980
BC068525	Hs.470887	51454
BC013331	Hs.420272	9555
BC012124	Hs.512867	113201
BC021190	Hs.152531	9421
BC012292	Hs.520973	3315
BC034483	Hs.80288	3305
BC012807	Hs.509736	3326
BC005329	Hs.158195	3298
BC039343	Hs.532803	51155
BC065224	Hs.117339	10870
BC001491	Hs.517581	3162
BC002396	Hs.284279	3163
BC008303	Hs.12126	55365
BC004411	Hs.28249	55906
BC003565	Hs.514590	9146
BC025716	Hs.182385	3249
BC015771	Hs.291079	122961
BC069184	Hs.446623	3191
BC014232	Hs.155218	11100
BC008730	Hs.370365	3098
BC063434	Hs.518805	3159
BC021959	Hs.69594	10363
AB019000	Hs.251399	11255
BC069795	Hs.436885	3270
BC069574	Hs.1498	3273
BC011807	Hs.528050	3035
BC069101	Hs.131956	3009
BC032547	Hs.67397	3198
BC013682	Hs.37034	3202
BC014651	Hs.98428	3216
BC001293	Hs.44276	3226
BC069619	Hs.123070	3236
BC044855	Hs.236646	3235
BC020841	Hs.356664	90527
BC000229	Hs.267194	79003
BC001387	Hs.502775	11145
BC013860	Hs.321535	84447
BC040658	Hs.178499	29068
BC020647	Hs.90527	29080
BC017772	Hs.47166	57415
AB046775	Hs.325890	59269
BC030990	Hs.4014	23390
BC057808	Hs.2799	1404
BC000692	Hs.76873	8692
BC009235	Hs.516032	3030
BC066963	Hs.515848	3032
BC000840	Hs.157394	3029
BC012043	Hs.132513	51144
BC034281	Hs.477	3293
BC017039	Hs.185489	57149
BC017480	Hs.445497	92906
BC007285	Hs.475602	92106
BC012882	Hs.344488	150356
BC013151	Hs.345382	115811
